Reporte de Detección de Vehículos

ID: 4030, Nombre: lluvia7.jpg, Ubicación: uploads\lluvia7.jpg, Tipo: automovil, Confianza: 82.01%, Fecha/Hora: 2025-01-12 10:20:01.202686, Tiempo: 0.418741s
ID: 4031, Nombre: lluvia7.jpg, Ubicación: uploads\lluvia7.jpg, Tipo: automovil, Confianza: 66.00%, Fecha/Hora: 2025-01-12 10:20:01.204684, Tiempo: 0.418741s
ID: 4032, Nombre: lluvia7.jpg, Ubicación: uploads\lluvia7.jpg, Tipo: automovil, Confianza: 60.87%, Fecha/Hora: 2025-01-12 10:20:01.205684, Tiempo: 0.418741s
ID: 4033, Nombre: lluvia7.jpg, Ubicación: uploads\lluvia7.jpg, Tipo: automovil, Confianza: 60.70%, Fecha/Hora: 2025-01-12 10:20:01.206683, Tiempo: 0.418741s
ID: 4034, Nombre: lluvia7.jpg, Ubicación: uploads\lluvia7.jpg, Tipo: automovil, Confianza: 25.98%, Fecha/Hora: 2025-01-12 10:20:01.208682, Tiempo: 0.418741s
ID: 4035, Nombre: lluvia7.jpg, Ubicación: uploads\lluvia7.jpg, Tipo: bus, Confianza: 25.06%, Fecha/Hora: 2025-01-12 10:20:01.210681, Tiempo: 0.418741s
ID: 4036, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 96.46%, Fecha/Hora: 2025-01-12 10:22:17.091318, Tiempo: 0.245986s
ID: 4037, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 95.55%, Fecha/Hora: 2025-01-12 10:22:17.094317, Tiempo: 0.245986s
ID: 4038, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 93.70%, Fecha/Hora: 2025-01-12 10:22:17.095316, Tiempo: 0.245986s
ID: 4039, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 92.20%, Fecha/Hora: 2025-01-12 10:22:17.097315, Tiempo: 0.245986s
ID: 4040, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 90.94%, Fecha/Hora: 2025-01-12 10:22:17.099314, Tiempo: 0.245986s
ID: 4041, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 90.34%, Fecha/Hora: 2025-01-12 10:22:17.100313, Tiempo: 0.245986s
ID: 4042, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 89.06%, Fecha/Hora: 2025-01-12 10:22:17.102313, Tiempo: 0.245986s
ID: 4043, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 87.03%, Fecha/Hora: 2025-01-12 10:22:17.104311, Tiempo: 0.245986s
ID: 4044, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 85.89%, Fecha/Hora: 2025-01-12 10:22:17.105310, Tiempo: 0.245986s
ID: 4045, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 84.65%, Fecha/Hora: 2025-01-12 10:22:17.107309, Tiempo: 0.245986s
ID: 4046, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 79.47%, Fecha/Hora: 2025-01-12 10:22:17.108308, Tiempo: 0.245986s
ID: 4047, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 76.45%, Fecha/Hora: 2025-01-12 10:22:17.109307, Tiempo: 0.245986s
ID: 4048, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 73.43%, Fecha/Hora: 2025-01-12 10:22:17.111306, Tiempo: 0.245986s
