Reporte de Detección de Vehículos

ID: 40, Nombre: streaming_live, Ubicación: En vivo, Tipo: camion, Confianza: 42.58%, Fecha/Hora: 12/1/2025 21:28:54, Tiempo: 0s
ID: 41, Nombre: streaming_live, Ubicación: En vivo, Tipo: camion, Confianza: 32.05%, Fecha/Hora: 12/1/2025 21:28:54, Tiempo: 0s
ID: 42, Nombre: streaming_live, Ubicación: En vivo, Tipo: camion, Confianza: 32.97%, Fecha/Hora: 12/1/2025 21:28:54, Tiempo: 0s
ID: 43, Nombre: streaming_live, Ubicación: En vivo, Tipo: camion, Confianza: 37.10%, Fecha/Hora: 12/1/2025 21:28:55, Tiempo: 0s
ID: 44, Nombre: streaming_live, Ubicación: En vivo, Tipo: camion, Confianza: 35.82%, Fecha/Hora: 12/1/2025 21:28:55, Tiempo: 0s
ID: 45, Nombre: streaming_live, Ubicación: En vivo, Tipo: camion, Confianza: 25.54%, Fecha/Hora: 12/1/2025 21:28:55, Tiempo: 0s
ID: 46, Nombre: streaming_live, Ubicación: En vivo, Tipo: bus, Confianza: 28.14%, Fecha/Hora: 12/1/2025 21:28:56, Tiempo: 0s
ID: 47, Nombre: streaming_live, Ubicación: En vivo, Tipo: camion, Confianza: 30.26%, Fecha/Hora: 12/1/2025 21:28:56, Tiempo: 0s
ID: 48, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 90.88%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 49, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 83.36%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 50, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 82.91%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 51, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 38.70%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 52, Nombre: streaming_live, Ubicación: En vivo, Tipo: camioneta, Confianza: 36.87%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 53, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 78.69%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 54, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 72.56%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 55, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 68.77%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 56, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 62.72%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 57, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 35.31%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 58, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 77.29%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 59, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 32.63%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 60, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 80.77%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 61, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 69.93%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 62, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 57.04%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
ID: 63, Nombre: streaming_live, Ubicación: En vivo, Tipo: automovil, Confianza: 42.07%, Fecha/Hora: 12/1/2025 21:28:57, Tiempo: 0s
