Reporte de Detección de Vehículos

ID: VF-38, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 90.72%, Fecha/Hora: 24/1/2025 5:51:24, Tiempo: N/As
ID: VF-39, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 46.20%, Fecha/Hora: 24/1/2025 5:51:24, Tiempo: N/As
ID: VF-40, Nombre: VideoStream, Ubicación: Desconocido, Tipo: bus, Confianza: 59.92%, Fecha/Hora: 24/1/2025 5:51:24, Tiempo: N/As
ID: VF-41, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 74.74%, Fecha/Hora: 24/1/2025 5:51:24, Tiempo: N/As
ID: VF-42, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 93.62%, Fecha/Hora: 24/1/2025 5:51:25, Tiempo: N/As
ID: VF-43, Nombre: VideoStream, Ubicación: Desconocido, Tipo: furgoneta, Confianza: 52.55%, Fecha/Hora: 24/1/2025 5:51:25, Tiempo: N/As
ID: VF-44, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 93.79%, Fecha/Hora: 24/1/2025 5:51:25, Tiempo: N/As
ID: VF-45, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 36.39%, Fecha/Hora: 24/1/2025 5:51:25, Tiempo: N/As
ID: VF-46, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 58.93%, Fecha/Hora: 24/1/2025 5:51:25, Tiempo: N/As
ID: VF-47, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 32.98%, Fecha/Hora: 24/1/2025 5:51:26, Tiempo: N/As
ID: VF-48, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 43.35%, Fecha/Hora: 24/1/2025 5:51:26, Tiempo: N/As
ID: VF-49, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 85.58%, Fecha/Hora: 24/1/2025 5:51:26, Tiempo: N/As
ID: VF-50, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 48.09%, Fecha/Hora: 24/1/2025 5:51:26, Tiempo: N/As
ID: VF-51, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 25.13%, Fecha/Hora: 24/1/2025 5:51:26, Tiempo: N/As
ID: VF-52, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 27.12%, Fecha/Hora: 24/1/2025 5:51:26, Tiempo: N/As
ID: VF-53, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 96.45%, Fecha/Hora: 24/1/2025 5:51:27, Tiempo: N/As
ID: VF-54, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 88.38%, Fecha/Hora: 24/1/2025 5:51:27, Tiempo: N/As
ID: VF-55, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 70.27%, Fecha/Hora: 24/1/2025 5:51:27, Tiempo: N/As
ID: VF-56, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 96.45%, Fecha/Hora: 24/1/2025 5:51:27, Tiempo: N/As
ID: VF-57, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 84.61%, Fecha/Hora: 24/1/2025 5:51:27, Tiempo: N/As
ID: VF-58, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 81.60%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-59, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 80.88%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-60, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 71.19%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-61, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 28.40%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-62, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 41.11%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-63, Nombre: VideoStream, Ubicación: Desconocido, Tipo: bus, Confianza: 30.47%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-64, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 27.80%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-65, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 94.37%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-66, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 89.34%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-67, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 69.66%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-68, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 64.18%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-69, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 27.80%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-70, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 26.49%, Fecha/Hora: 24/1/2025 5:51:28, Tiempo: N/As
ID: VF-71, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 70.08%, Fecha/Hora: 24/1/2025 5:51:29, Tiempo: N/As
ID: VF-72, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 95.97%, Fecha/Hora: 24/1/2025 5:51:29, Tiempo: N/As
