Reporte de Detección de Vehículos

ID: 34, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 30.98%, Fecha/Hora: 26/1/2025 10:31:39, Tiempo: 4.20 ss
ID: 35, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 78.42%, Fecha/Hora: 26/1/2025 10:31:40, Tiempo: 4.67 ss
ID: 36, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 88.89%, Fecha/Hora: 26/1/2025 10:31:40, Tiempo: 4.83 ss
ID: 37, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 36.77%, Fecha/Hora: 26/1/2025 10:31:40, Tiempo: 4.83 ss
ID: 38, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 90.72%, Fecha/Hora: 26/1/2025 10:31:40, Tiempo: 5.20 ss
ID: 39, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 46.20%, Fecha/Hora: 26/1/2025 10:31:40, Tiempo: 5.20 ss
ID: 40, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: bus, Confianza: 59.92%, Fecha/Hora: 26/1/2025 10:31:41, Tiempo: 5.54 ss
ID: 41, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 74.74%, Fecha/Hora: 26/1/2025 10:31:41, Tiempo: 5.72 ss
ID: 42, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 93.62%, Fecha/Hora: 26/1/2025 10:31:41, Tiempo: 6.19 ss
ID: 43, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: furgoneta, Confianza: 52.55%, Fecha/Hora: 26/1/2025 10:31:42, Tiempo: 6.51 ss
ID: 44, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 94.20%, Fecha/Hora: 26/1/2025 10:31:42, Tiempo: 6.67 ss
ID: 45, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 32.62%, Fecha/Hora: 26/1/2025 10:31:42, Tiempo: 6.67 ss
ID: 46, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 58.93%, Fecha/Hora: 26/1/2025 10:31:42, Tiempo: 7.15 ss
ID: 47, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 51.14%, Fecha/Hora: 26/1/2025 10:31:42, Tiempo: 7.15 ss
ID: 48, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 32.98%, Fecha/Hora: 26/1/2025 10:31:42, Tiempo: 7.31 ss
ID: 49, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 85.58%, Fecha/Hora: 26/1/2025 10:31:43, Tiempo: 7.62 ss
ID: 50, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 48.09%, Fecha/Hora: 26/1/2025 10:31:43, Tiempo: 7.78 ss
ID: 51, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 89.62%, Fecha/Hora: 26/1/2025 10:31:43, Tiempo: 7.94 ss
ID: 52, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 25.13%, Fecha/Hora: 26/1/2025 10:31:43, Tiempo: 7.94 ss
ID: 53, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 70.49%, Fecha/Hora: 26/1/2025 10:31:43, Tiempo: 8.12 ss
ID: 54, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 27.12%, Fecha/Hora: 26/1/2025 10:31:43, Tiempo: 8.12 ss
ID: 55, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 96.45%, Fecha/Hora: 26/1/2025 10:31:43, Tiempo: 8.30 ss
ID: 56, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 96.79%, Fecha/Hora: 26/1/2025 10:31:44, Tiempo: 8.48 ss
ID: 57, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 84.61%, Fecha/Hora: 26/1/2025 10:31:44, Tiempo: 8.82 ss
ID: 58, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 91.00%, Fecha/Hora: 26/1/2025 10:31:44, Tiempo: 8.99 ss
ID: 59, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 80.88%, Fecha/Hora: 26/1/2025 10:31:44, Tiempo: 9.32 ss
ID: 60, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 71.19%, Fecha/Hora: 26/1/2025 10:31:44, Tiempo: 9.32 ss
ID: 61, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 68.42%, Fecha/Hora: 26/1/2025 10:31:44, Tiempo: 9.32 ss
ID: 62, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 28.40%, Fecha/Hora: 26/1/2025 10:31:44, Tiempo: 9.32 ss
ID: 63, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 41.11%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 9.67 ss
ID: 64, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 93.23%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 9.83 ss
ID: 65, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: bus, Confianza: 30.47%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 9.83 ss
ID: 66, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 27.80%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 9.83 ss
ID: 67, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 94.76%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 10.01 ss
ID: 68, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 94.37%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 10.01 ss
ID: 69, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 69.66%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 10.01 ss
ID: 70, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 64.18%, Fecha/Hora: 26/1/2025 10:31:45, Tiempo: 10.01 ss
