Reporte de Detección de Vehículos

ID: 37, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 36.77%, Fecha/Hora: 26/1/2025 8:39:11, Tiempo: N/As
ID: 38, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 90.72%, Fecha/Hora: 26/1/2025 8:39:12, Tiempo: N/As
ID: 39, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 46.20%, Fecha/Hora: 26/1/2025 8:39:12, Tiempo: N/As
ID: 40, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: bus, Confianza: 59.92%, Fecha/Hora: 26/1/2025 8:39:12, Tiempo: N/As
ID: 41, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 74.74%, Fecha/Hora: 26/1/2025 8:39:12, Tiempo: N/As
ID: 42, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 96.36%, Fecha/Hora: 26/1/2025 8:39:13, Tiempo: N/As
ID: 43, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 93.62%, Fecha/Hora: 26/1/2025 8:39:13, Tiempo: N/As
ID: 44, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 54.14%, Fecha/Hora: 26/1/2025 8:39:13, Tiempo: N/As
ID: 45, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: furgoneta, Confianza: 52.55%, Fecha/Hora: 26/1/2025 8:39:13, Tiempo: N/As
ID: 46, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 38.71%, Fecha/Hora: 26/1/2025 8:39:13, Tiempo: N/As
ID: 47, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 34.67%, Fecha/Hora: 26/1/2025 8:39:13, Tiempo: N/As
ID: 48, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 94.20%, Fecha/Hora: 26/1/2025 8:39:14, Tiempo: N/As
ID: 49, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.95%, Fecha/Hora: 26/1/2025 8:39:14, Tiempo: N/As
ID: 50, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 58.93%, Fecha/Hora: 26/1/2025 8:39:14, Tiempo: N/As
ID: 51, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 32.98%, Fecha/Hora: 26/1/2025 8:39:14, Tiempo: N/As
ID: 52, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 94.06%, Fecha/Hora: 26/1/2025 8:39:15, Tiempo: N/As
ID: 53, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 85.58%, Fecha/Hora: 26/1/2025 8:39:15, Tiempo: N/As
ID: 54, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 53.58%, Fecha/Hora: 26/1/2025 8:39:15, Tiempo: N/As
ID: 55, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 48.09%, Fecha/Hora: 26/1/2025 8:39:15, Tiempo: N/As
ID: 56, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 89.62%, Fecha/Hora: 26/1/2025 8:39:15, Tiempo: N/As
ID: 57, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 25.13%, Fecha/Hora: 26/1/2025 8:39:15, Tiempo: N/As
ID: 58, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 27.12%, Fecha/Hora: 26/1/2025 8:39:15, Tiempo: N/As
ID: 59, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 96.45%, Fecha/Hora: 26/1/2025 8:39:16, Tiempo: N/As
ID: 60, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.36%, Fecha/Hora: 26/1/2025 8:39:16, Tiempo: N/As
ID: 61, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 79.60%, Fecha/Hora: 26/1/2025 8:39:16, Tiempo: N/As
