Reporte de Detección de Vehículos

ID: 17, Nombre: 659db88f701a0.jpeg, Ubicación: uploads\659db88f701a0.jpeg, Tipo: automovil, Confianza: 51.44%, Fecha/Hora: 2025-01-06 08:23:32.424692, Tiempo: 0.207182s, Procesado: Sí
ID: 18, Nombre: 659db88f701a0.jpeg, Ubicación: uploads\659db88f701a0.jpeg, Tipo: automovil, Confianza: 49.07%, Fecha/Hora: 2025-01-06 08:23:32.424692, Tiempo: 0.207182s, Procesado: Sí
ID: 19, Nombre: 659db88f701a0.jpeg, Ubicación: uploads\659db88f701a0.jpeg, Tipo: automovil, Confianza: 46.66%, Fecha/Hora: 2025-01-06 08:23:32.424692, Tiempo: 0.207182s, Procesado: Sí
ID: 20, Nombre: 659db88f701a0.jpeg, Ubicación: uploads\659db88f701a0.jpeg, Tipo: moto, Confianza: 46.14%, Fecha/Hora: 2025-01-06 08:23:32.425692, Tiempo: 0.207182s, Procesado: Sí
ID: 21, Nombre: 659db88f701a0.jpeg, Ubicación: uploads\659db88f701a0.jpeg, Tipo: automovil, Confianza: 44.37%, Fecha/Hora: 2025-01-06 08:23:32.425692, Tiempo: 0.207182s, Procesado: Sí
ID: 22, Nombre: 659db88f701a0.jpeg, Ubicación: uploads\659db88f701a0.jpeg, Tipo: automovil, Confianza: 42.16%, Fecha/Hora: 2025-01-06 08:23:32.425692, Tiempo: 0.207182s, Procesado: Sí
ID: 23, Nombre: 659db88f701a0.jpeg, Ubicación: uploads\659db88f701a0.jpeg, Tipo: automovil, Confianza: 42.14%, Fecha/Hora: 2025-01-06 08:23:32.425692, Tiempo: 0.207182s, Procesado: Sí
ID: 24, Nombre: 659db88f701a0.jpeg, Ubicación: uploads\659db88f701a0.jpeg, Tipo: automovil, Confianza: 35.64%, Fecha/Hora: 2025-01-06 08:23:32.425692, Tiempo: 0.207182s, Procesado: Sí
ID: 25, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: furgoneta, Confianza: 92.17%, Fecha/Hora: 2025-01-06 09:10:01.269000, Tiempo: 2.144723s, Procesado: Sí
ID: 26, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 89.95%, Fecha/Hora: 2025-01-06 09:10:01.269000, Tiempo: 2.144723s, Procesado: Sí
ID: 27, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 80.65%, Fecha/Hora: 2025-01-06 09:10:01.269999, Tiempo: 2.144723s, Procesado: Sí
ID: 28, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 77.97%, Fecha/Hora: 2025-01-06 09:10:01.269999, Tiempo: 2.144723s, Procesado: Sí
ID: 29, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 70.35%, Fecha/Hora: 2025-01-06 09:10:01.269999, Tiempo: 2.144723s, Procesado: Sí
ID: 30, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 65.90%, Fecha/Hora: 2025-01-06 09:10:01.269999, Tiempo: 2.144723s, Procesado: Sí
ID: 31, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: camion, Confianza: 65.15%, Fecha/Hora: 2025-01-06 09:10:01.269999, Tiempo: 2.144723s, Procesado: Sí
ID: 32, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 64.18%, Fecha/Hora: 2025-01-06 09:10:01.270999, Tiempo: 2.144723s, Procesado: Sí
ID: 33, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 63.31%, Fecha/Hora: 2025-01-06 09:10:01.270999, Tiempo: 2.144723s, Procesado: Sí
ID: 34, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 58.08%, Fecha/Hora: 2025-01-06 09:10:01.270999, Tiempo: 2.144723s, Procesado: Sí
ID: 35, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: furgoneta, Confianza: 30.57%, Fecha/Hora: 2025-01-06 09:10:01.270999, Tiempo: 2.144723s, Procesado: Sí
ID: 36, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: bus, Confianza: 26.53%, Fecha/Hora: 2025-01-06 09:10:01.270999, Tiempo: 2.144723s, Procesado: Sí
ID: 37, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: furgoneta, Confianza: 92.17%, Fecha/Hora: 2025-01-06 09:10:04.997850, Tiempo: 0.204874s, Procesado: Sí
ID: 38, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 89.95%, Fecha/Hora: 2025-01-06 09:10:04.997850, Tiempo: 0.204874s, Procesado: Sí
ID: 39, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 80.65%, Fecha/Hora: 2025-01-06 09:10:04.997850, Tiempo: 0.204874s, Procesado: Sí
ID: 40, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 77.97%, Fecha/Hora: 2025-01-06 09:10:04.997850, Tiempo: 0.204874s, Procesado: Sí
ID: 41, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 70.35%, Fecha/Hora: 2025-01-06 09:10:04.998849, Tiempo: 0.204874s, Procesado: Sí
ID: 42, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 65.90%, Fecha/Hora: 2025-01-06 09:10:04.998849, Tiempo: 0.204874s, Procesado: Sí
ID: 43, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: camion, Confianza: 65.15%, Fecha/Hora: 2025-01-06 09:10:04.998849, Tiempo: 0.204874s, Procesado: Sí
ID: 44, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 64.18%, Fecha/Hora: 2025-01-06 09:10:04.998849, Tiempo: 0.204874s, Procesado: Sí
ID: 45, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 63.31%, Fecha/Hora: 2025-01-06 09:10:04.999849, Tiempo: 0.204874s, Procesado: Sí
ID: 46, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 58.08%, Fecha/Hora: 2025-01-06 09:10:04.999849, Tiempo: 0.204874s, Procesado: Sí
ID: 47, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: furgoneta, Confianza: 30.57%, Fecha/Hora: 2025-01-06 09:10:04.999849, Tiempo: 0.204874s, Procesado: Sí
ID: 48, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: bus, Confianza: 26.53%, Fecha/Hora: 2025-01-06 09:10:04.999849, Tiempo: 0.204874s, Procesado: Sí
ID: 49, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: furgoneta, Confianza: 92.17%, Fecha/Hora: 2025-01-06 09:10:37.765281, Tiempo: 1.780607s, Procesado: Sí
ID: 50, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 89.95%, Fecha/Hora: 2025-01-06 09:10:37.766281, Tiempo: 1.780607s, Procesado: Sí
ID: 51, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 80.65%, Fecha/Hora: 2025-01-06 09:10:37.766281, Tiempo: 1.780607s, Procesado: Sí
ID: 52, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 77.97%, Fecha/Hora: 2025-01-06 09:10:37.766281, Tiempo: 1.780607s, Procesado: Sí
ID: 53, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 70.35%, Fecha/Hora: 2025-01-06 09:10:37.766281, Tiempo: 1.780607s, Procesado: Sí
ID: 54, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 65.90%, Fecha/Hora: 2025-01-06 09:10:37.767280, Tiempo: 1.780607s, Procesado: Sí
ID: 55, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: camion, Confianza: 65.15%, Fecha/Hora: 2025-01-06 09:10:37.767280, Tiempo: 1.780607s, Procesado: Sí
ID: 56, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 64.18%, Fecha/Hora: 2025-01-06 09:10:37.767280, Tiempo: 1.780607s, Procesado: Sí
ID: 57, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 63.31%, Fecha/Hora: 2025-01-06 09:10:37.767280, Tiempo: 1.780607s, Procesado: Sí
ID: 58, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: automovil, Confianza: 58.08%, Fecha/Hora: 2025-01-06 09:10:37.768280, Tiempo: 1.780607s, Procesado: Sí
ID: 59, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: furgoneta, Confianza: 30.57%, Fecha/Hora: 2025-01-06 09:10:37.768280, Tiempo: 1.780607s, Procesado: Sí
ID: 60, Nombre: 9_octubre.jpg, Ubicación: uploads\9_octubre.jpg, Tipo: bus, Confianza: 26.53%, Fecha/Hora: 2025-01-06 09:10:37.768280, Tiempo: 1.780607s, Procesado: Sí
