Reporte de Detección de Vehículos

ID: 34, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 30.98%, Fecha/Hora: 26/1/2025 10:19:44, Tiempo: 4.60 ss
ID: 35, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 78.42%, Fecha/Hora: 26/1/2025 10:19:45, Tiempo: 5.50 ss
ID: 36, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 88.89%, Fecha/Hora: 26/1/2025 10:19:45, Tiempo: 5.80 ss
ID: 37, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 36.77%, Fecha/Hora: 26/1/2025 10:19:45, Tiempo: 5.80 ss
ID: 38, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 90.72%, Fecha/Hora: 26/1/2025 10:19:45, Tiempo: 6.40 ss
ID: 39, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 46.20%, Fecha/Hora: 26/1/2025 10:19:45, Tiempo: 6.40 ss
ID: 40, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: bus, Confianza: 59.92%, Fecha/Hora: 26/1/2025 10:19:46, Tiempo: 7.00 ss
ID: 41, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 74.74%, Fecha/Hora: 26/1/2025 10:19:46, Tiempo: 7.30 ss
ID: 42, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 93.62%, Fecha/Hora: 26/1/2025 10:19:46, Tiempo: 8.20 ss
ID: 43, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: furgoneta, Confianza: 52.55%, Fecha/Hora: 26/1/2025 10:19:47, Tiempo: 8.80 ss
ID: 44, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 94.20%, Fecha/Hora: 26/1/2025 10:19:47, Tiempo: 9.10 ss
ID: 45, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 32.62%, Fecha/Hora: 26/1/2025 10:19:47, Tiempo: 9.10 ss
ID: 46, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 58.93%, Fecha/Hora: 26/1/2025 10:19:47, Tiempo: 10.00 ss
ID: 47, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 51.14%, Fecha/Hora: 26/1/2025 10:19:47, Tiempo: 10.00 ss
ID: 48, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 32.98%, Fecha/Hora: 26/1/2025 10:19:48, Tiempo: 10.30 ss
ID: 49, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 85.58%, Fecha/Hora: 26/1/2025 10:19:48, Tiempo: 10.90 ss
