Reporte de Detección de Vehículos

ID: 9029, Nombre: enuu.jpg, Ubicación: uploads\enuu.jpg, Tipo: automovil, Confianza: 0.27%, Fecha/Hora: 2025-01-26T08:08:44.951802, Tiempo: 3.119739s
ID: 9030, Nombre: enuu.jpg, Ubicación: uploads\enuu.jpg, Tipo: automovil, Confianza: 0.27%, Fecha/Hora: 2025-01-26T08:08:44.954801, Tiempo: 3.119739s
ID: 9031, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.96%, Fecha/Hora: 2025-01-26T08:14:20.289261, Tiempo: 0.189881s
ID: 9032, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.93%, Fecha/Hora: 2025-01-26T08:14:20.296256, Tiempo: 0.189881s
ID: 9033, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.89%, Fecha/Hora: 2025-01-26T08:14:20.303251, Tiempo: 0.189881s
ID: 9034, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.89%, Fecha/Hora: 2025-01-26T08:14:20.308249, Tiempo: 0.189881s
ID: 9035, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.89%, Fecha/Hora: 2025-01-26T08:14:20.315245, Tiempo: 0.189881s
ID: 9036, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.82%, Fecha/Hora: 2025-01-26T08:14:20.321241, Tiempo: 0.189881s
ID: 9037, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.82%, Fecha/Hora: 2025-01-26T08:14:20.327237, Tiempo: 0.189881s
ID: 9038, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.79%, Fecha/Hora: 2025-01-26T08:14:20.333233, Tiempo: 0.189881s
ID: 9039, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.76%, Fecha/Hora: 2025-01-26T08:14:20.338230, Tiempo: 0.189881s
ID: 9040, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.73%, Fecha/Hora: 2025-01-26T08:14:20.343227, Tiempo: 0.189881s
ID: 9041, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.70%, Fecha/Hora: 2025-01-26T08:14:20.350222, Tiempo: 0.189881s
ID: 9042, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.68%, Fecha/Hora: 2025-01-26T08:14:20.355219, Tiempo: 0.189881s
ID: 9043, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.65%, Fecha/Hora: 2025-01-26T08:14:20.360216, Tiempo: 0.189881s
ID: 9044, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.64%, Fecha/Hora: 2025-01-26T08:14:20.366214, Tiempo: 0.189881s
ID: 9045, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.63%, Fecha/Hora: 2025-01-26T08:14:20.371210, Tiempo: 0.189881s
ID: 9046, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.62%, Fecha/Hora: 2025-01-26T08:14:20.377206, Tiempo: 0.189881s
ID: 9047, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.58%, Fecha/Hora: 2025-01-26T08:14:20.383202, Tiempo: 0.189881s
ID: 9048, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.58%, Fecha/Hora: 2025-01-26T08:14:20.388199, Tiempo: 0.189881s
ID: 9049, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.58%, Fecha/Hora: 2025-01-26T08:14:20.394195, Tiempo: 0.189881s
ID: 9050, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.56%, Fecha/Hora: 2025-01-26T08:14:20.399192, Tiempo: 0.189881s
ID: 9051, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.50%, Fecha/Hora: 2025-01-26T08:14:20.405189, Tiempo: 0.189881s
ID: 9052, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.46%, Fecha/Hora: 2025-01-26T08:14:20.411185, Tiempo: 0.189881s
ID: 9053, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.45%, Fecha/Hora: 2025-01-26T08:14:20.417181, Tiempo: 0.189881s
ID: 9054, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.44%, Fecha/Hora: 2025-01-26T08:14:20.422178, Tiempo: 0.189881s
ID: 9055, Nombre: 000015.jpg, Ubicación: uploads\000015.jpg, Tipo: automovil, Confianza: 0.31%, Fecha/Hora: 2025-01-26T08:14:20.427175, Tiempo: 0.189881s
