Reporte de Detección de Vehículos

ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: bus, Confianza: 25.70%, Fecha/Hora: 12/1/2025 23:48:02, Tiempo: 12.87s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: furgoneta, Confianza: 26.27%, Fecha/Hora: 12/1/2025 23:48:05, Tiempo: 15.29s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 97.31%, Fecha/Hora: 12/1/2025 23:48:06, Tiempo: 16.35s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 25.71%, Fecha/Hora: 12/1/2025 23:48:07, Tiempo: 17.14s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 93.82%, Fecha/Hora: 12/1/2025 23:48:08, Tiempo: 17.98s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 37.56%, Fecha/Hora: 12/1/2025 23:48:10, Tiempo: 19.75s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 43.51%, Fecha/Hora: 12/1/2025 23:48:12, Tiempo: 21.46s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 96.38%, Fecha/Hora: 12/1/2025 23:48:13, Tiempo: 22.04s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 80.16%, Fecha/Hora: 12/1/2025 23:48:13, Tiempo: 22.42s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 44.12%, Fecha/Hora: 12/1/2025 23:48:14, Tiempo: 22.83s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: moto, Confianza: 29.53%, Fecha/Hora: 12/1/2025 23:48:14, Tiempo: 23.29s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 94.03%, Fecha/Hora: 12/1/2025 23:48:15, Tiempo: 23.96s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 93.56%, Fecha/Hora: 12/1/2025 23:48:15, Tiempo: 23.96s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 25.89%, Fecha/Hora: 12/1/2025 23:48:15, Tiempo: 23.96s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 32.62%, Fecha/Hora: 12/1/2025 23:48:17, Tiempo: 25.36s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: camioneta, Confianza: 45.29%, Fecha/Hora: 12/1/2025 23:48:18, Tiempo: 26.34s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: moto, Confianza: 48.30%, Fecha/Hora: 12/1/2025 23:48:19, Tiempo: 27.19s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 95.28%, Fecha/Hora: 12/1/2025 23:48:20, Tiempo: 27.58s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 37.86%, Fecha/Hora: 12/1/2025 23:48:20, Tiempo: 27.79s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: camioneta, Confianza: 28.91%, Fecha/Hora: 12/1/2025 23:48:20, Tiempo: 28.01s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 96.43%, Fecha/Hora: 12/1/2025 23:48:21, Tiempo: 28.78s
ID: N/A, Nombre: h123.mp4, Ubicación: Video, Tipo: automovil, Confianza: 89.61%, Fecha/Hora: 12/1/2025 23:48:26, Tiempo: 32.63s
